,canton,canton_id,tot_companies,suisse_companies,swiss_companies,svizzera_companies,schweiz_companies,helvetia_companies,boundary,suisse_per_10k,swiss_per_10k,svizzera_per_10k,schweiz_per_10k,helvetia_per_10k
0,Jura,https://ld.admin.ch/canton/26,6080,54,88,0,6,2,"POLYGON ((7.0272395050678 47.501331513194, 7.0369750038171 47.497501513214, 7.0448030097108 47.498173014711, 7.0513170019603 47.495193510811, 7.0604060119941 47.495212013663, 7.0713419996678 47.492267514974, 7.0748780124014 47.488167010859, 7.0916720110938 47.494835010209, 7.111858014764 47.495105511308, 7.1280170127566 47.503589507199, 7.1380750153548 47.502094514414, 7.1504830065619 47.497116012135, 7.1593635070483 47.49077201068, 7.1693470141392 47.489345509874, 7.2010830018881 47.493881009427, 7.2023280138606 47.491707009257, 7.1908640093622 47.488201011455, 7.1776030067836 47.46813950607, 7.1788293832455 47.464176195779, 7.1782622209877 47.45813989907, 7.1704220115115 47.443454505392, 7.1922670100031 47.438755012067, 7.1961805049838 47.435421014437, 7.2062390092156 47.434894506613, 7.2255690120933 47.439777507667, 7.2359079988695 47.436889510952, 7.2386029988575 47.43383800619, 7.2385745014414 47.428795004222, 7.2450170123839 47.426845514165, 7.245589001532 47.42029951056, 7.2541639997663 47.423992010549, 7.2704689989455 47.427044008288, 7.2825640022815 47.434627507785, 7.2922030002656 47.433120504223, 7.3029750102286 47.438732008583, 7.3245720121781 47.438961004724, 7.3264660080225 47.439853513811, 7.3258909488532 47.432098700347, 7.34014478137 47.429521544378, 7.3441033892818 47.424596106407, 7.3582278294141 47.418077176227, 7.3572387358951 47.41500047671, 7.3631356754512 47.414716717724, 7.3756847255414 47.414076763671, 7.384021054381 47.41232721507, 7.3887470017557 47.402948472766, 7.3959401668136 47.403311183101, 7.3990451950918 47.396665607949, 7.4146105930204 47.393953775195, 7.4136591024323 47.389483441406, 7.416283516345 47.384807003596, 7.4117168413826 47.380605681986, 7.43689004581 47.379970424406, 7.436108893049 47.378135576941, 7.4401872847922 47.380267264518, 7.4536790578684 47.373430773173, 7.4584446398496 47.370830749855, 7.4943371799595 47.370711373102, 7.5188192908698 47.372100268937, 7.5242204170284 47.371610743907, 7.5218272355471 47.365127596767, 7.5321090296428 47.362646379981, 7.5338379826605 47.359721832292, 7.5395967793591 47.360121728414, 7.5414680688352 47.355748855319, 7.5368253496063 47.35018537416, 7.539506808253 47.34743981011, 7.552206763033 47.345296450861, 7.5498818169685 47.340891464016, 7.5344484246147 47.334366746426, 7.5277406523552 47.322669908102, 7.5317723226805 47.321065750929, 7.5584017722249 47.322372557698, 7.5301505131935 47.316308990966, 7.4998745416343 47.303358824698, 7.4903263867372 47.302068222364, 7.4742641444259 47.306958157899, 7.4596517497412 47.306646822109, 7.4423420297961 47.308717255683, 7.4400542379236 47.308429465725, 7.4213690843691 47.306782044779, 7.4195566960231 47.308742531237, 7.4130101146412 47.309928472784, 7.4116858981213 47.313301069994, 7.391543843452 47.313123541055, 7.378488365099 47.314952222987, 7.3495665131221 47.305399164439, 7.3480989644014 47.305254097747, 7.3371892896966 47.305460788735, 7.3316604827757 47.29962733563, 7.3226784704522 47.295553072999, 7.3169392145225 47.290393268124, 7.3073476098983 47.28801710745, 7.280073938593 47.284483714542, 7.2624054654566 47.287165247342, 7.2582202007493 47.285656651714, 7.2427953226401 47.285343514316, 7.2323152566512 47.288185395401, 7.2145542279432 47.290004948402, 7.2102366269908 47.288791169831, 7.2061910709643 47.291913139257, 7.2090874204658 47.294707267674, 7.2058048671016 47.295573122478, 7.1743724995401 47.294119915034, 7.163378295026 47.29307770641, 7.1691402350182 47.290896708044, 7.1646843010116 47.288493617102, 7.1651974072502 47.286399111826, 7.1693498714415 47.286049143993, 7.1701576097436 47.283154791447, 7.1677213920874 47.281368146907, 7.1687333579205 47.274696563979, 7.1487417836877 47.26910715846, 7.1455383581704 47.265312298485, 7.1489115040658 47.262208726882, 7.1430592532961 47.259648331218, 7.1427373527449 47.255761824242, 7.1515239825462 47.255541284576, 7.1491552120212 47.253844344429, 7.1558203703435 47.247564717443, 7.1505166927551 47.246382219774, 7.1407126144671 47.244576245468, 7.1399945905914 47.243072271268, 7.1292583131954 47.24502265778, 7.1133750011525 47.241785641309, 7.1022602641584 47.2428959348, 7.0962489258929 47.23699563821, 7.0884704034744 47.236972175239, 7.0857041174315 47.239886980966, 7.0887970159666 47.241533480696, 7.0870928058856 47.243597053187, 7.0852051576083 47.24541717887, 7.0796049315055 47.24342097397, 7.0794034356836 47.247836733317, 7.0580078879 47.241804329766, 7.0570133352019 47.240514786054, 7.0586281390503 47.230769866512, 7.0474424723532 47.227305304738, 7.0443262175194 47.221960756871, 7.0349785741333 47.209758337245, 7.0335685404936 47.207711551552, 7.0256332488479 47.197806968906, 7.0233667040072 47.195685005354, 7.0161157899893 47.194786039948, 6.9964659657511 47.19327284154, 6.9950612557483 47.189228729865, 6.9844986299327 47.176072878012, 6.9798851567592 47.174120621338, 6.97700242614 47.174936590923, 6.9704563914645 47.181305444997, 6.9614521426936 47.182050914739, 6.9562266263627 47.180706817625, 6.9520891791594 47.187381559743, 6.9453519353607 47.18540091, 6.9413357346892 47.184547053166, 6.9399245029305 47.180259350291, 6.9381911435357 47.175178666358, 6.9159858051558 47.163476188933, 6.9061699128402 47.15722451712, 6.8837696162339 47.15044407307, 6.8796025799008 47.154264721091, 6.8723390295345 47.173955154711, 6.8614375973719 47.165622582853, 6.8589121458032 47.165288900669, 6.8452390082665 47.166404510037, 6.8413280076545 47.171398004937, 6.8637810089682 47.180000511708, 6.8675920145535 47.185287504567, 6.873894015314 47.185333507353, 6.8737140005144 47.189567514395, 6.8799390023122 47.200031513222, 6.8894445117764 47.205070507268, 6.9103140098466 47.218193009612, 6.9238470089149 47.22213350655, 6.9275310122081 47.228489006013, 6.9330000110265 47.230884510165, 6.9394190056928 47.231060007727, 6.9427387377566 47.234526983015, 6.9432390004974 47.238178507504, 6.9554785237253 47.242974697419, 6.9465080134838 47.2534675116, 6.9511080000943 47.259678014331, 6.9519440130569 47.269039514631, 6.9407420136292 47.286506503926, 6.9532250060084 47.292392511833, 6.9685109997942 47.292751004955, 6.9732940078698 47.291424006765, 6.9765750091821 47.296367506589, 6.9965719985592 47.296127513376, 7.0033360015929 47.301407004998, 7.0074026530769 47.301296064531, 7.016214008432 47.313984011619, 7.0136080010881 47.319912013816, 7.0097190026634 47.320831504847, 7.0097390036596 47.324367509882, 7.0344390060333 47.328407512223, 7.0457190031419 47.326721009308, 7.0566310140933 47.334392508406, 7.0529250082182 47.33689901083, 7.0591470123749 47.339878015226, 7.0616360106319 47.343734508069, 7.0499245105503 47.347221508707, 7.0525860136637 47.351661510037, 7.0489250132505 47.361843006391, 7.0433220013333 47.364029013575, 7.0344749998086 47.363589508112, 7.0336515001267 47.367877506563, 7.0333360075098 47.369518514361, 7.0204060020848 47.370311506226, 7.0179079990851 47.372883010622, 7.0134170136529 47.371494508795, 7.0123440052471 47.372795010341, 7.0061250144483 47.367558009217, 6.9959970054705 47.363449014858, 6.9830920089363 47.363506514654, 6.9744330137432 47.359859514438, 6.9514080057034 47.359768012988, 6.9417560001064 47.357555514557, 6.9329780096465 47.358406511505, 6.9211000049728 47.355312512811, 6.9018470038124 47.359405505181, 6.8992249985446 47.35770400665, 6.8957470052791 47.358612009354, 6.8944720043967 47.356395510158, 6.8847690118113 47.352810008359, 6.8798059999158 47.352440013208, 6.8789690111985 47.357433506953, 6.8848499988061 47.367012007235, 6.8836689981323 47.373157513662, 6.8955860143709 47.379940005485, 6.894963999503 47.381668010679, 6.9051805097518 47.38294200923, 6.9119395127109 47.386184509639, 6.9136690002569 47.389457512651, 6.9095420050753 47.396183009028, 6.9154390140894 47.397362011026, 6.9178170062768 47.403240010645, 6.9136170113879 47.404659506604, 6.9194360106531 47.406502006857, 6.9208750001731 47.405205004222, 6.9385995075217 47.4064790131, 6.9416810148543 47.416027012494, 6.9391860097101 47.433704511581, 6.9546190022886 47.435077511585, 6.9577530061627 47.433727509321, 6.9636499996665 47.435699510091, 6.9702940062455 47.447060012412, 6.9814310007618 47.448990007665, 6.9902610118677 47.447895013565, 7.0015500085945 47.453743511705, 7.0009470063397 47.456028015436, 6.9975280044632 47.456634509006, 6.9980530077422 47.460079008863, 7.0010920099602 47.461761510114, 7.0003610080577 47.466877504516, 6.9917780060824 47.466427014537, 6.9929250084542 47.471248507777, 6.986539004642 47.476211511182, 6.9884669985686 47.487262509348, 6.98291401192 47.494270508842, 6.9863030137424 47.493580008165, 7.0008529989342 47.49995051348, 7.024406008877 47.504223005019, 7.0272395050678 47.501331513194))",89,145,0,10,3
1,Appenzell Innerrhoden,https://ld.admin.ch/canton/16,2010,7,46,0,42,0,"MULTIPOLYGON (((9.3793024503291 47.385738455805, 9.3783214615626 47.38062666424, 9.3854352290958 47.379193386088, 9.3857520774762 47.377352654653, 9.3900011354782 47.377640803493, 9.3932853215346 47.380149405378, 9.4011640849642 47.377853877006, 9.4024504844054 47.374010853181, 9.411925428243 47.368783936144, 9.4194090906548 47.369528495962, 9.4220884994318 47.367863008155, 9.4305413988211 47.370658782432, 9.4297914903329 47.366677014751, 9.4355592084148 47.360154112668, 9.437935447489 47.356433118899, 9.444730050147 47.35684605551, 9.4657608249424 47.34687846547, 9.4792352138779 47.347171817379, 9.4872954242488 47.350223070843, 9.502979110504 47.347370312589, 9.5028032452398 47.337359303433, 9.4983897466479 47.31870545252, 9.4926479127549 47.312878513666, 9.4961108164568 47.305933685462, 9.4892038406035 47.302097824697, 9.4877254846453 47.288402886256, 9.4848205359222 47.283685796467, 9.4611465788324 47.263994250577, 9.4518223892309 47.260333616963, 9.4377066652533 47.250790167119, 9.4247856786399 47.246946839374, 9.4147258136242 47.24646306186, 9.4024165972265 47.237622202251, 9.3820856413895 47.233999269918, 9.3704412266181 47.240025475576, 9.3637785743266 47.243574011201, 9.3500794084486 47.24472889752, 9.342937320759 47.249336820794, 9.3236324002825 47.283092241769, 9.3135609335468 47.290647518297, 9.3128316145904 47.296237535383, 9.3170756173584 47.302214465849, 9.3150556731803 47.306080080663, 9.3184284460513 47.309453006853, 9.3157487619501 47.31299648611, 9.3171020924666 47.316114398519, 9.3136942428011 47.320785296294, 9.3095899329964 47.320707992939, 9.3098866613847 47.322754483299, 9.3114249667718 47.325113708112, 9.3289363761359 47.330865049843, 9.3335281158429 47.34091131676, 9.3433144879759 47.344753845474, 9.3462352138059 47.344993503061, 9.3436189418763 47.352162321688, 9.3514781748171 47.3549833365, 9.3650680497598 47.358446077499, 9.35653585085 47.37154378604, 9.3592510805969 47.373388007294, 9.3583574073376 47.37799130674, 9.3498390967429 47.383116896768, 9.3583486237513 47.385099018262, 9.3712936220022 47.384073375825, 9.3762933950853 47.38677864834, 9.3793024503291 47.385738455805)), ((9.5721468604912 47.413098949744, 9.5736383252068 47.407322014024, 9.5700142702631 47.406183273671, 9.564916461822 47.405305492187, 9.5624061217459 47.408593979777, 9.5530759504803 47.4078351635, 9.5512501564533 47.409919975217, 9.542381155297 47.408192368193, 9.5553208792057 47.396628232666, 9.5529953613379 47.393791643552, 9.5475500761618 47.393135418362, 9.5431093601904 47.395096883042, 9.5452821868653 47.39844030197, 9.5426065179719 47.400144594789, 9.5090083390427 47.39455254704, 9.5122082924152 47.397446263043, 9.5107570070127 47.402375841345, 9.532828514656 47.41063326081, 9.5274151071195 47.41048833324, 9.522766430133 47.413964272681, 9.5269225057016 47.414824949643, 9.5234428073349 47.421419825335, 9.5264947355796 47.423182175829, 9.5374131456614 47.425728572553, 9.5389474487217 47.431683909155, 9.5469866085155 47.429774061268, 9.548498483369 47.427776053247, 9.5547402355767 47.42669921393, 9.5541289076401 47.423327395956, 9.5589063371534 47.418299851567, 9.5769034265173 47.415359354491, 9.5721468604912 47.413098949744)), ((9.5689765544329 47.438533805222, 9.5715370624657 47.43393924996, 9.5932080927775 47.435669699586, 9.593094297611 47.434169245009, 9.6049795317235 47.436871273287, 9.6179080246962 47.437168090527, 9.6071393067445 47.431621217944, 9.588233598787 47.425451235402, 9.5893912887653 47.421290853213, 9.6047856289781 47.414192149747, 9.5828818737838 47.409769084089, 9.5803807765849 47.410526280687, 9.585851055971 47.413061008221, 9.585333167417 47.414681184033, 9.5816543031593 47.41516336319, 9.5830847891957 47.42040034656, 9.5682388603958 47.421106787451, 9.5673027919089 47.422230717638, 9.575181877614 47.425639293105, 9.5705191513622 47.42872154308, 9.5691779049288 47.427675585883, 9.562523480709 47.429039711391, 9.5585437079079 47.431650038265, 9.5587539387408 47.433931511271, 9.5659831920737 47.438885476171, 9.5689765544329 47.438533805222)))",35,229,0,209,0
2,Zurich,https://ld.admin.ch/canton/1,125150,387,2442,5,2332,38,"POLYGON ((8.6696057883708 47.674754673404, 8.6768749527909 47.671817183834, 8.6779597036245 47.665815311555, 8.6812396898725 47.656920700045, 8.6854101364431 47.654807259917, 8.6885579649115 47.649421673763, 8.6996004000607 47.646945693756, 8.7087192565359 47.641998207349, 8.7135090313399 47.64414938155, 8.7171371542354 47.641716914491, 8.7257015706965 47.643088397311, 8.7318502578436 47.641985678855, 8.7430186573146 47.642607276964, 8.7438878711825 47.639530324809, 8.7472484526186 47.63872793924, 8.7486391301601 47.641149811125, 8.7577368356457 47.643061593929, 8.7685767608905 47.650196628528, 8.7762917737639 47.648920693533, 8.781588141026 47.652016689751, 8.7859684265894 47.655186044437, 8.7885443005018 47.665374089214, 8.7985208138365 47.664987851757, 8.8026998168341 47.664911855662, 8.8052516080835 47.664728943846, 8.8048497424831 47.652239999272, 8.8264311573285 47.646749057178, 8.8275410732979 47.640340464056, 8.8254611361 47.637145182661, 8.8202395346886 47.629300988547, 8.8134041560736 47.627403298719, 8.8117505999138 47.62263761347, 8.8146307411499 47.621344212935, 8.8115492253172 47.618970089637, 8.8140050047976 47.61722298213, 8.8049480396453 47.613705058579, 8.8041113982792 47.608075113738, 8.8030520312273 47.601017581333, 8.7887165882117 47.603146215297, 8.790274378792 47.608435051421, 8.787831326216 47.609650813059, 8.7620111618786 47.618079527492, 8.7565250796051 47.61680174895, 8.7494814441854 47.621387913033, 8.7480714438149 47.623013891772, 8.7463942125089 47.62189946928, 8.7458250077308 47.61283917137, 8.740328927654 47.612199375209, 8.7394706099263 47.608116383733, 8.7486886099182 47.600061245166, 8.7456766579794 47.596560261589, 8.7481924102392 47.592349284708, 8.7620069424999 47.592849092331, 8.79790801085 47.585031012753, 8.8060361448499 47.583154437303, 8.8022363093174 47.582731448638, 8.8011699072648 47.580549209953, 8.8062486858665 47.57953594388, 8.8048175180703 47.575064310878, 8.8082022222675 47.574358742786, 8.8074920362417 47.571560683894, 8.810254292055 47.57095235085, 8.8168495265062 47.570028590699, 8.8176016326009 47.571863630993, 8.8218762950178 47.57165978618, 8.8224199003534 47.573137482095, 8.8297471496339 47.571232781078, 8.8307193175964 47.573838675622, 8.8386341225449 47.571035839455, 8.8391250838679 47.565461941442, 8.8446530809061 47.565934722088, 8.8442094138195 47.563232571113, 8.8510520185638 47.563671104178, 8.8510672755607 47.56074749615, 8.8419993622695 47.560066081647, 8.8388710812312 47.557342414477, 8.8294820768496 47.557563419082, 8.830156268918 47.553372592951, 8.8342963668649 47.543050334928, 8.8411178362633 47.537256010143, 8.8408948214346 47.532833065667, 8.8677933852041 47.530444392608, 8.8736909688512 47.529480939357, 8.8801935164298 47.526836525887, 8.8834379432075 47.529422731847, 8.8875769704271 47.52827359695, 8.8987243038589 47.524085692614, 8.8950523081717 47.519481324795, 8.8976383507149 47.511137029305, 8.8948584711854 47.502716338261, 8.8928331313502 47.488367079336, 8.8966936664893 47.487832751131, 8.8974797525959 47.485043241169, 8.8853271800667 47.481741540582, 8.8847743184086 47.477025826196, 8.8809029759109 47.474690344144, 8.8844682234472 47.473575384162, 8.8836596741888 47.470185187628, 8.8906011634266 47.469324664644, 8.8934863789962 47.463738174178, 8.8956104781707 47.463315636528, 8.9003637779677 47.454305077321, 8.9088545710907 47.448161399729, 8.9026469518616 47.444255096249, 8.9068456767949 47.438795484464, 8.9216796388529 47.434890949962, 8.9327284829318 47.435540313737, 8.9308203978557 47.431795753746, 8.9192330267643 47.432727361124, 8.9134737319802 47.431568568716, 8.9106265881306 47.434078664715, 8.9077151843847 47.430427473855, 8.9129415090975 47.428148002106, 8.9149759097483 47.426912409787, 8.9113657989472 47.422941590312, 8.9147726782433 47.418652155735, 8.91272697562 47.412741087495, 8.9038924317759 47.402453399041, 8.9061713078124 47.401354961335, 8.919903439977 47.399650443588, 8.9418138846044 47.387313015895, 8.9437086186016 47.384049827906, 8.9405314873124 47.379413327747, 8.9436355803489 47.375837531229, 8.9509212922091 47.372170970316, 8.9608600027464 47.35386851135, 8.967082733281 47.354362029088, 8.97192592035 47.352453614193, 8.9742587070241 47.347501769347, 8.9731498761038 47.339788905595, 8.9791499485476 47.337666855323, 8.9773737879338 47.327021184883, 8.9850380926652 47.319379949698, 8.9746528346785 47.30696908712, 8.9572037836795 47.304519316002, 8.9489058629935 47.292177651747, 8.933594669893 47.288418903464, 8.9405116078157 47.284262754411, 8.9412077046491 47.279872561693, 8.9438691981656 47.279558957846, 8.9455511800023 47.282010925172, 8.9476533150253 47.281791774827, 8.9478958171453 47.279371365089, 8.9468488518844 47.275066907566, 8.9405276110782 47.272144729253, 8.9441201090519 47.269237074988, 8.9359487896044 47.260635228209, 8.9117524213004 47.254874697281, 8.9084354351839 47.254377289414, 8.9081707934391 47.256764641509, 8.8851387904415 47.252836912624, 8.873477202681 47.2515523521, 8.8737010898522 47.247591288781, 8.8701782305859 47.245296136415, 8.8610655305078 47.243411886737, 8.8556283034084 47.244364050796, 8.8516606340406 47.2509779254, 8.8447430409445 47.248632056687, 8.8447129292925 47.24698615186, 8.8384635135576 47.246963298557, 8.8326195377473 47.250326692034, 8.8286060438209 47.25043815291, 8.8264399666889 47.251480809771, 8.8092268495872 47.247962532226, 8.8025913510294 47.246790842949, 8.7993526630044 47.242043299562, 8.7965494453662 47.242454205972, 8.7957511222711 47.23910812698, 8.8077847096794 47.220559928395, 8.7934027016839 47.222547218296, 8.7406619281927 47.211667842307, 8.7144764127472 47.203118044055, 8.7099389168832 47.200478477081, 8.7039093244261 47.202254121092, 8.7026147203392 47.198301169079, 8.6940295003188 47.19635306055, 8.6813269534828 47.183599853142, 8.6820300188199 47.17411061312, 8.6902654636649 47.169739274171, 8.6920422784542 47.166751280031, 8.6924834575504 47.163624888963, 8.6747914373948 47.159444357301, 8.6658416568487 47.15968412121, 8.6616273217263 47.1605296374, 8.6608395897088 47.17050542268, 8.6522397724517 47.171136205349, 8.6411128102097 47.169094037139, 8.6391910928074 47.17163293309, 8.6241897396827 47.173317765206, 8.6281585772332 47.179753764493, 8.6178834744238 47.192453551486, 8.6154931806774 47.199575632683, 8.6083025413737 47.205127288999, 8.6032297784873 47.20312769851, 8.5986872626262 47.201824207882, 8.5980553807937 47.209207015904, 8.5945502107767 47.211940950436, 8.5882283043874 47.212633932078, 8.5852801567649 47.210594332255, 8.5826519987967 47.211160210832, 8.5831865786149 47.217631742468, 8.5783128613621 47.218786535276, 8.5743142884523 47.217017920913, 8.5607851245123 47.219714280364, 8.5539263572093 47.223217204412, 8.5527719701862 47.221681142482, 8.5433655374921 47.222068602657, 8.5391997460877 47.223035022882, 8.5364057706994 47.220722850013, 8.5324840242516 47.222001544091, 8.5313277514758 47.217757638768, 8.5212237840642 47.220182894698, 8.5125599281043 47.219409432747, 8.51217756541 47.21549096166, 8.4984445050878 47.212028960114, 8.4900277752769 47.210981676582, 8.4839039119993 47.208356774449, 8.4799220808648 47.208599745054, 8.4762138431581 47.210018517694, 8.4731136798624 47.20876005873, 8.4706304371103 47.213468966874, 8.461418897081 47.213641096354, 8.4566808394371 47.218567586153, 8.4530352638909 47.217790164769, 8.451986907278 47.219598473249, 8.4478495847126 47.220048586515, 8.4464082254743 47.223434475866, 8.4437549712795 47.222774009218, 8.4410677199515 47.225226176723, 8.4370388159682 47.223731953868, 8.4294689341107 47.224948720546, 8.4221245061435 47.22336550984, 8.4187146910779 47.226794808902, 8.4182062031575 47.233635580384, 8.4148415400698 47.238863424252, 8.4169870448916 47.241345920846, 8.4141970624714 47.24407715662, 8.4107158201423 47.248037510292, 8.4025866015238 47.25508610569, 8.4047945163121 47.260284859069, 8.400899187017 47.264095434939, 8.4014365001509 47.268246737964, 8.4023745425815 47.272628560951, 8.394937403129 47.277997640769, 8.3916259240031 47.286489501691, 8.3887410980885 47.290039398157, 8.3923147336405 47.291008366552, 8.397072630389 47.287973544302, 8.4043090411218 47.29190703432, 8.4147423364302 47.293456334262, 8.4291559181224 47.300700509949, 8.4284643679708 47.301201179855, 8.4312444591713 47.305638894, 8.4294913237665 47.307372038257, 8.4321548044087 47.308365585664, 8.4320286022642 47.311532964593, 8.4360110959781 47.315150637896, 8.4412227756856 47.315870061051, 8.4405313700367 47.317792031721, 8.4491685149459 47.32335667563, 8.4485974163987 47.326033229793, 8.4525267087781 47.328823250329, 8.4541325804537 47.334646968195, 8.4498592001469 47.330483764336, 8.4420482486464 47.327412636572, 8.4347725201497 47.325325828988, 8.4327810779541 47.326368442238, 8.4291458050352 47.32723624183, 8.4162753539662 47.324467548765, 8.4125933864791 47.328582444041, 8.4164406114068 47.337095230025, 8.4073809889613 47.341714103347, 8.4038428129169 47.34656506737, 8.4068248193947 47.351901126963, 8.4093316968864 47.355100291816, 8.4073540045991 47.355530668232, 8.4050071238046 47.364077570638, 8.4081269901881 47.366740920996, 8.407142810154 47.370140276569, 8.4003707177501 47.370529669384, 8.3995880225861 47.374853752349, 8.3941543970231 47.381986812545, 8.3965522596619 47.393822222745, 8.3920046213983 47.395811712767, 8.3832609490085 47.394273429796, 8.3799374344216 47.399598508539, 8.366187697969 47.398918122339, 8.3623527053443 47.402366861008, 8.3658258060922 47.402482971515, 8.3674248783129 47.400734135237, 8.3689642462484 47.403159349888, 8.3758425461433 47.404794811762, 8.3792448831183 47.402392543666, 8.3845990638539 47.406225620698, 8.3812036421419 47.410516896893, 8.3849565509337 47.414416967521, 8.3817427416326 47.416269170867, 8.3837072362306 47.417944150377, 8.3869493393702 47.416190604329, 8.392088569762 47.420492825205, 8.387681123234 47.428255595627, 8.3769787987115 47.429440287575, 8.3746824475062 47.432274249607, 8.3771085201352 47.433792688743, 8.3828593281821 47.432909371786, 8.3839161358922 47.434942545517, 8.3809131791143 47.446534256342, 8.3817962354921 47.448478910126, 8.3867857636533 47.449436537534, 8.3829670821543 47.456177805384, 8.3801427175655 47.456200821545, 8.3789190149096 47.458999118538, 8.3728004902014 47.458742856936, 8.3694817604369 47.465389655995, 8.3657691680332 47.466228973904, 8.3678434057836 47.470313884592, 8.3752594567673 47.471108596991, 8.373290984041 47.481387350741, 8.3635691440457 47.480835813862, 8.3626645330556 47.490629118103, 8.3583635023609 47.49745423091, 8.3631668023219 47.501202674169, 8.3591532939085 47.500910843018, 8.3578263735169 47.502468437147, 8.3610941694934 47.510267664274, 8.3770227860892 47.512424316136, 8.380391243533 47.515967792927, 8.3814004686442 47.524963055148, 8.3866751802798 47.528850594503, 8.3918807602225 47.525138140541, 8.3932987949763 47.525720100232, 8.3956857884807 47.527751147883, 8.3956315424171 47.532113912319, 8.4027188890571 47.53332338086, 8.4044429703678 47.534649199053, 8.4010742556508 47.540046914423, 8.4043755448451 47.538247544305, 8.4050920324302 47.541857339192, 8.4113617687471 47.546212162401, 8.4175428883539 47.545701404641, 8.4144946578172 47.554046957478, 8.4184059959472 47.564411496021, 8.42643450862 47.567549008166, 8.4371690118833 47.56710200529, 8.4558925157838 47.572355010825, 8.4641205073994 47.572212513623, 8.4768280056011 47.577861505592, 8.4837481773563 47.577242633819, 8.4869211290558 47.57771768301, 8.4945405226606 47.581201362477, 8.4886190138475 47.58785100814, 8.4870125039343 47.587354005605, 8.4688080152559 47.58395000568, 8.4648145073162 47.588037008036, 8.4604190046415 47.588305506608, 8.4612270162918 47.592572013017, 8.4570470119085 47.597285013095, 8.4565995028286 47.60235551213, 8.4681090047246 47.603658511376, 8.4713795125233 47.60689300462, 8.4702785124377 47.608472510298, 8.4749890101182 47.607697507386, 8.4778125080999 47.610731010944, 8.4791385029137 47.615163511878, 8.4832420055764 47.613639514606, 8.4938960122724 47.61447501021, 8.5082515121258 47.617507508185, 8.5073060034973 47.623845508055, 8.5149440143169 47.623365011137, 8.512608001597 47.625587506663, 8.5164495060983 47.63195000568, 8.5155330121261 47.633920011859, 8.5208170053478 47.634474514184, 8.5257255109534 47.631768514475, 8.538118014847 47.631138509901, 8.5385565101499 47.626094504268, 8.5430435110942 47.626957504189, 8.5441355166126 47.625224506191, 8.5573380080378 47.624562012201, 8.5628010125296 47.616767514041, 8.5692955106842 47.617269514247, 8.5710365078248 47.612491514906, 8.5744080102346 47.611931013813, 8.5664060017943 47.609874006612, 8.5660625079009 47.605374004948, 8.5614730110265 47.601382006681, 8.5628410096198 47.599432514111, 8.5568683278627 47.597373884881, 8.556281653664 47.594141521154, 8.5476226271932 47.592731547046, 8.5454793206292 47.591969499095, 8.5380556124148 47.587902640997, 8.5353406970507 47.587127835511, 8.5370176895838 47.583361259897, 8.5341489091978 47.582848725279, 8.5344728749168 47.581154697574, 8.5401437462448 47.578330658278, 8.5348598292331 47.575430527161, 8.5464709119361 47.573863056547, 8.5462183028685 47.571311016373, 8.5415908371347 47.569924995418, 8.5476208120853 47.565280242044, 8.5546681262686 47.55281803671, 8.5589204174556 47.552848969615, 8.5636829807114 47.557525022913, 8.5676302984695 47.562568608335, 8.5719998154214 47.574281925043, 8.580299512004 47.577015808985, 8.5773894751272 47.583880304892, 8.57911195379 47.589799788257, 8.5833025584929 47.592996543716, 8.5929064594448 47.595617722296, 8.5955960154139 47.605538890443, 8.6034487622628 47.611261783258, 8.60495951547 47.61598251053, 8.5973905139515 47.628965003764, 8.5953240136649 47.642627512398, 8.607706509345 47.652426004803, 8.6126925070312 47.649348509445, 8.6138480071111 47.644137013317, 8.6111460101938 47.642095008779, 8.6044635000956 47.641547011168, 8.6027870035518 47.639468011753, 8.6065230162264 47.637061510076, 8.6167540106933 47.638012006058, 8.6234230118203 47.641021505961, 8.6282973842691 47.648723587728, 8.627987512742 47.653307004332, 8.614485476649 47.661528383011, 8.6128180067379 47.660757505031, 8.6089640110391 47.663423511437, 8.6063556869458 47.669003755763, 8.6127836187963 47.677258702218, 8.6152323971949 47.677782579191, 8.619037216685 47.675207583284, 8.6238964215905 47.676327368256, 8.6273848156643 47.679259852142, 8.6252371396327 47.691595001722, 8.6320868593332 47.692725803729, 8.6437148007501 47.694561844639, 8.6633379886743 47.685902003925, 8.6704534060178 47.68486438439, 8.6681684965667 47.677666094331, 8.6696057883708 47.674754673404))",31,195,0,186,3
